site,lat,lon,climate_start_year,climate_year_dur,pop,birth_rate,prev0,nSims,simulation_start_year,simulation_years,demographics_filepath,NMF_filepath,CM_filepath,SMC_filepath,ITN_filepath,ITN_age_filepath,ITN_season_filepath,vector_filepath,prevalence_comparison,prevalence_comparison_reference,prevalence_comparison_frequency,prevalence_comparison_diagnostic,prevalence_comparison_agebin,incidence_comparison,incidence_comparison_reference,incidence_comparison_frequency,incidence_comparison_agebin,climate_filepath
Banfora,10.35815195,-4.78305561,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Barsalogho,13.58403547,-1.027494531,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Baskuy,12.37620914,-1.537765581,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Batie,9.874355021,-2.959007379,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Bittou,11.35015157,-0.288309071,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Bogande,12.78798637,0.075154081,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Bogodogo,12.29616709,-1.326302933,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Boromo,11.72224601,-3.073397032,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Boulmiougou,12.24805872,-1.668442695,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Boulsa,12.76242633,-0.489848069,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Bousse,12.62572528,-1.812716682,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Boussouma,12.83818011,-1.052300223,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
Dafra,11.15108697,-4.177686038,2010,10,1000,38,0.2,1,2000,20,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_demographics.wVaxSMC.json,nonmalarial_fevers/nmf_rates_generic.csv,cm/Nanoro_case_management.csv,smc/SMC.csv,itn/Nanoro_ITN.csv,itn/ITN_age.csv,itn/ITN_season.csv,vectors/vectors.csv,True,pcr_prevalence.csv,monthly,PCR,100,True,routine_incidence_by_district.csv,monthly,100,/gpfs/projects/b1139/malaria-bf-hbhi/IO/simulation_inputs/DS_inputs_files/Banfora_climate_2020_one_year
